****************************************************************************************************Id:0****************************************************************************************************
Id:1,Parent:block.pbid.bid, Miner:-1, Txns:0, Time:0
Id:23676387,Parent:block.pbid.bid, Miner:(Id:8), Txns:1, Time:3086.1851777145257
Id:1377420432,Parent:block.pbid.bid, Miner:(Id:7), Txns:3, Time:3092.041417118944
Id:1637641712,Parent:block.pbid.bid, Miner:(Id:8), Txns:2, Time:3116.812211176293
Id:297474449,Parent:block.pbid.bid, Miner:(Id:4), Txns:3, Time:3119.688589107879
Id:920836784,Parent:block.pbid.bid, Miner:(Id:7), Txns:3, Time:3126.0955579640145
Id:1997318002,Parent:block.pbid.bid, Miner:(Id:4), Txns:2, Time:3127.3473494467075
Id:1320681211,Parent:block.pbid.bid, Miner:(Id:8), Txns:2, Time:3142.495819920361
Id:656990020,Parent:block.pbid.bid, Miner:(Id:4), Txns:1, Time:3142.616936213726
Id:384193167,Parent:block.pbid.bid, Miner:(Id:8), Txns:2, Time:3150.016449586784
Id:1601415840,Parent:block.pbid.bid, Miner:(Id:4), Txns:4, Time:3161.245820913006
Id:1293145218,Parent:block.pbid.bid, Miner:(Id:1), Txns:1, Time:3174.11382681092
Id:1005369478,Parent:block.pbid.bid, Miner:(Id:4), Txns:2, Time:3194.8394762043163
Id:588661561,Parent:block.pbid.bid, Miner:(Id:8), Txns:2, Time:3200.305322332277
Id:575795293,Parent:block.pbid.bid, Miner:(Id:9), Txns:1, Time:3200.4136444936676
Id:1708770087,Parent:block.pbid.bid, Miner:(Id:5), Txns:1, Time:3217.3067413499375
Id:1244394105,Parent:block.pbid.bid, Miner:(Id:3), Txns:1, Time:3238.6890957795376
Id:141180239,Parent:block.pbid.bid, Miner:(Id:4), Txns:3, Time:3270.682708590208
Id:648049349,Parent:block.pbid.bid, Miner:(Id:1), Txns:2, Time:3292.1010816940534
Id:791281012,Parent:block.pbid.bid, Miner:(Id:1), Txns:2, Time:3309.0749435106623
Id:1765912047,Parent:block.pbid.bid, Miner:(Id:8), Txns:2, Time:3319.4947077987963
Id:455776207,Parent:block.pbid.bid, Miner:(Id:8), Txns:1, Time:3325.7588552115776
Id:1413362826,Parent:block.pbid.bid, Miner:(Id:4), Txns:2, Time:3328.6908216857933
Id:160921531,Parent:block.pbid.bid, Miner:(Id:8), Txns:2, Time:3336.9679422387135
Id:405359041,Parent:block.pbid.bid, Miner:(Id:4), Txns:2, Time:3356.8716511523758
Id:1743768794,Parent:block.pbid.bid, Miner:(Id:4), Txns:1, Time:3361.284423594281
Id:1133518675,Parent:block.pbid.bid, Miner:(Id:8), Txns:2, Time:3384.079838992397
Id:883717274,Parent:block.pbid.bid, Miner:(Id:1), Txns:2, Time:3409.0698508084406
Id:1143505942,Parent:block.pbid.bid, Miner:(Id:7), Txns:5, Time:3420.9808031610837
Id:1424495589,Parent:block.pbid.bid, Miner:(Id:8), Txns:1, Time:3425.6744798941036
Id:1036812668,Parent:block.pbid.bid, Miner:(Id:7), Txns:2, Time:3433.6790875414786
Id:1433037253,Parent:block.pbid.bid, Miner:(Id:4), Txns:2, Time:3452.7797950085023
Id:1942284957,Parent:block.pbid.bid, Miner:(Id:4), Txns:2, Time:3466.611780019076
Id:33468023,Parent:block.pbid.bid, Miner:(Id:8), Txns:2, Time:3520.403170533983
Id:77313002,Parent:block.pbid.bid, Miner:(Id:8), Txns:2, Time:3521.2995804015254
Id:1471172248,Parent:block.pbid.bid, Miner:(Id:5), Txns:2, Time:3532.777868720327
Id:408094648,Parent:block.pbid.bid, Miner:(Id:1), Txns:2, Time:3535.662184537674
Id:329374129,Parent:block.pbid.bid, Miner:(Id:7), Txns:2, Time:3614.4904711414083
Id:1661443602,Parent:block.pbid.bid, Miner:(Id:5), Txns:1, Time:3633.9641933476837
Id:1349839899,Parent:block.pbid.bid, Miner:(Id:1), Txns:1, Time:3666.5108541788304
